TBG SKU#,WALMART ITEM#,Item Description,check based on TBG SKU
205641,30081705,1.36L PL 1/6 NJ STRW BAN,1.36L PL 1/6 NJ STRW BAN
198304,31154879,1.54L PL 1/6 TROP BBRYBLBRY,1.54L PL 1/6 TROP BBRYBLBRY
198297,31154878,1.54L PL 1/6 TROP STRW PCH,1.54L PL 1/6 TROP STRW PCH
167944,30454228,1.54L PL TROP 50 WP 1/6,1.54L PL TROP 50 WP 1/6
198150,31154876,1.54L PL TROP LMND 1/6,1.54L PL TROP LMND 1/6
173702,30454235,1.54L PL TROP OJ LOTS OF PULP,1.54L PL TROP OJ LOTS OF PULP
173725,30454231,1.54L PL TROP OJ NO PULP 1/6,1.54L PL TROP OJ NO PULP 1/6
173724,30454234,1.54L PL TROP OJ SOME PULP 1/6,1.54L PL TROP OJ SOME PULP 1/6
173779,31154872,1.54L PL TROP OJ W CALCM N VTM,1.54L PL TROP OJ W CALCM N VTM
173722,31154869,1.54L PL TROP ORG GRPFT 1/6,1.54L PL TROP ORG GRPFT 1/6
173780,31154871,1.54L PL TROP ORG LA 1/6,1.54L PL TROP ORG LA 1/6
198296,31154874,1.54L PL TROP PNPL MGO W LIME,1.54L PL TROP PNPL MGO W LIME
173709,31154870,1.54L PL TROP RED GRPFT 1/6,1.54L PL TROP RED GRPFT 1/6
198195,31154875,1.54L PL TROP WTRMLN 1/6,1.54L PL TROP WTRMLN 1/6
129209,9073834,1.75L CRTN TROP APL JC 1/8,1.75L CRTN TROP APL JC 1/8
129208,31154873,1.75L CRTN TROP CRAN CKTL 1/8,1.75L CRTN TROP CRAN CKTL 1/8
129908,30454259,1.75L CRTN TROP TPCS ORG PCH M,1.75L CRTN TROP TPCS ORG PCH M
129909,30454262,1.75L CRTN TROP TPCS ORGSTBAN,1.75L CRTN TROP TPCS ORGSTBAN
206211,31379312,1.75L PL LIT PLF IT LS SGR LMN,1.75L PL LIT PLF IT LS SGR LMN
142447,30879578,1.75L PL LPT PF IT RAZ 1/6,1.75L PL LPT PF IT RAZ 1/6
155791,30050669,1.75L PL LPT PF PCH T 1/6,1.75L PL LPT PF PCH T 1/6
173768,30454606,1.75L PL LPT PLF HBSC LMND 1/6,1.75L PL LPT PLF HBSC LMND 1/6
170227,30454602,1.75L PL LPT PLF MGO HBSC 1/6,1.75L PL LPT PLF MGO HBSC 1/6
142348,30879577,1.75L PL LPT PURELEAF IT SWL 1,1.75L PL LPT PURELEAF IT SWL 1
129977,9063026,2.63L PL TROP ESS CAL N/PLP 1/,2.63L PL TROP ESS CAL N/PLP 1/
129921,9063019,2.63L PL TROP PP GRVSTD 1/6,2.63L PL TROP PP GRVSTD 1/6
129922,9063012,2.63L PL TROP PP HMSTYL OJ 1/6,2.63L PL TROP PP HMSTYL OJ 1/6
129976,9063005,2.63L PL TROP PP ORIG OJ 1/6,2.63L PL TROP PP ORIG OJ 1/6
129942,30254693,3.78L PL TROP PP HMSTYL OJ 1/4,3.78L PL TROP PP HMSTYL OJ 1/4
129943,30254694,3.78L PL TROP PP ORIG OJ 1/4,3.78L PL TROP PP ORIG OJ 1/4
129436,30880186,355ML PL TROP APL 1/12,355ML PL TROP APL 1/12
129430,31093092,355ML PL TROP LMND 1/12,355ML PL TROP LMND 1/12
129923,30880185,355ML PL TROP PP HMSTYL OJ 1/1,355ML PL TROP PP HMSTYL OJ 1/1
129925,30880184,355ML PL TROP PP ORIG OJ 1/12,355ML PL TROP PP ORIG OJ 1/12
166938,31119672,KEVITA ACV TONIC TURMERIC GING,KEVITA ACV TONIC TURMERIC GING
166922,31119674,KEVITA MBK GINGER|,KEVITA MBK GINGER|
169995,31119675,KEVITA MBK LAVENDER MELON|,KEVITA MBK LAVENDER MELON|
166940,31119673,KEVITA MBK PINEAPPLE PEACH|,KEVITA MBK PINEAPPLE PEACH|
166941,31119680,KEVITA MBK TART CHERRY|,KEVITA MBK TART CHERRY|
166942,31119679,KEVITA SPD LEMON CAYENNE|,KEVITA SPD LEMON CAYENNE|
205666,30081713,NAKED JUICE MIGHTY MANGO|,NAKED JUICE MIGHTY MANGO|
134362,31441345,NAKED JUICE STRAWBERRY BANANA|,NAKED JUICE STRAWBERRY BANANA|
129197,31441344,NAKED JUICE SUPERFOOD GREEN MA,NAKED JUICE SUPERFOOD GREEN MA
205667,30081655,NAKED JUICE SUPERFOOD GREEN MA,NAKED JUICE SUPERFOOD GREEN MA
129872,31441343,NAKED JUICE WELL BEING MANGO|,NAKED JUICE WELL BEING MANGO|
320445,50203157,STARBUCKS COLD BREW BLACK UNSW,STARBUCKS COLD BREW BLACK UNSW
174232,30454646,STARBUCKS ICED COF BLONDE UNSW,STARBUCKS ICED COF BLONDE UNSW
170337,30454621,STARBUCKS ICED COF MEDIUM UNSW,STARBUCKS ICED COF MEDIUM UNSW
198363,31155001,STARBUCKS IEC CARAMEL MACCHIAT,STARBUCKS IEC CARAMEL MACCHIAT
198364,31155002,STARBUCKS IEC VAN LATTE,STARBUCKS IEC VAN LATTE|
